epoch,loss,val_loss
0,4.71749210357666,NA
1,4.622485160827637,NA
2,4.523924827575684,NA
3,4.5008392333984375,NA
4,4.473695755004883,NA
5,4.433347225189209,NA
6,4.388812065124512,NA
7,4.223640441894531,NA
8,4.012094497680664,NA
9,3.900165319442749,NA
10,3.7977025508880615,NA
11,3.6434030532836914,NA
12,3.6953365802764893,NA
13,3.726299285888672,NA
14,3.4752297401428223,NA
15,3.0970022678375244,NA
16,2.9992191791534424,NA
17,2.886643648147583,NA
18,2.6814680099487305,NA
19,2.505783796310425,NA
20,2.3276703357696533,NA
21,2.2313852310180664,NA
22,2.0737130641937256,NA
23,1.8125314712524414,NA
24,1.69358491897583,NA
25,1.749233603477478,NA
26,1.6778498888015747,NA
27,2.08445143699646,NA
28,1.747904658317566,NA
29,1.5009411573410034,NA
30,1.3431063890457153,NA
31,1.3224507570266724,NA
32,1.2506654262542725,NA
33,1.1385794878005981,NA
34,1.133980393409729,NA
35,1.0922002792358398,NA
36,1.100935935974121,NA
37,1.1725223064422607,NA
38,1.0670937299728394,NA
39,0.9207379817962646,NA
40,0.9510478973388672,NA
41,0.7661014795303345,NA
42,0.7658611536026001,NA
43,0.7629967331886292,NA
44,0.6849011182785034,NA
45,0.6935012936592102,NA
46,0.6405633687973022,NA
47,0.641723096370697,NA
48,0.6423491835594177,NA
49,0.6243053078651428,NA
